stock,symbol_nse,symbol_yfinance,industry
Balkrishna Industries Ltd.,BALKRISIND,BALKRISIND.NS,Automobile and Auto Components
Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMCHIN.NS,Fast Moving Consumer Goods
Bandhan Bank Ltd.,BANDHANBNK,BANDHANBNK.NS,Financial Services
Bank of Baroda,BANKBARODA,BANKBARODA.NS,Financial Services
Bank of India,BANKINDIA,BANKINDIA.NS,Financial Services
Bank of Maharashtra,MAHABANK,MAHABANK.NS,Financial Services
Bata India Ltd.,BATAINDIA,BATAINDIA.NS,Consumer Durables
Bayer Cropscience Ltd.,BAYERCROP,BAYERCROP.NS,Chemicals
Berger Paints India Ltd.,BERGEPAINT,BERGEPAINT.NS,Consumer Durables
Bharat Dynamics Ltd.,BDL,BDL.NS,Capital Goods
Bharat Electronics Ltd.,BEL,BEL.NS,Capital Goods
Bharat Forge Ltd.,BHARATFORG,BHARATFORG.NS,Capital Goods
Bharat Heavy Electricals Ltd.,BHEL,BHEL.NS,Capital Goods
Bharat Petroleum Corporation Ltd.,BPCL,BPCL.NS,Oil Gas & Consumable Fuels
Bharti Airtel Ltd.,BHARTIARTL,BHARTIARTL.NS,Telecommunication
Bikaji Foods International Ltd.,BIKAJI,BIKAJI.NS,Fast Moving Consumer Goods
Biocon Ltd.,BIOCON,BIOCON.NS,Healthcare
Birla Corporation Ltd.,BIRLACORPN,BIRLACORPN.NS,Construction Materials
Birlasoft Ltd.,BSOFT,BSOFT.NS,Information Technology
Blue Dart Express Ltd.,BLUEDART,BLUEDART.NS,Services
Blue Star Ltd.,BLUESTARCO,BLUESTARCO.NS,Consumer Durables
Bombay Burmah Trading Corporation Ltd.,BBTC,BBTC.NS,Fast Moving Consumer Goods
Borosil Renewables Ltd.,BORORENEW,BORORENEW.NS,Capital Goods
Bosch Ltd.,BOSCHLTD,BOSCHLTD.NS,Automobile and Auto Components
Brigade Enterprises Ltd.,BRIGADE,BRIGADE.NS,Realty
Brightcom Group Ltd.,BCG,BCG.NS,Information Technology
Britannia Industries Ltd.,BRITANNIA,BRITANNIA.NS,Fast Moving Consumer Goods
C.E. Info Systems Ltd.,MAPMYINDIA,MAPMYINDIA.NS,Information Technology
CCL Products (I) Ltd.,CCL,CCL.NS,Fast Moving Consumer Goods
CESC Ltd.,CESC,CESC.NS,Power
CG Power and Industrial Solutions Ltd.,CGPOWER,CGPOWER.NS,Capital Goods
CIE Automotive India Ltd.,CIEINDIA,CIEINDIA.NS,Automobile and Auto Components
CRISIL Ltd.,CRISIL,CRISIL.NS,Financial Services
CSB Bank Ltd.,CSBBANK,CSBBANK.NS,Financial Services
Campus Activewear Ltd.,CAMPUS,CAMPUS.NS,Consumer Durables
Can Fin Homes Ltd.,CANFINHOME,CANFINHOME.NS,Financial Services
Canara Bank,CANBK,CANBK.NS,Financial Services
Capri Global Capital Ltd.,CGCL,CGCL.NS,Financial Services
Carborundum Universal Ltd.,CARBORUNIV,CARBORUNIV.NS,Capital Goods
Castrol India Ltd.,CASTROLIND,CASTROLIND.NS,Oil Gas & Consumable Fuels
Ceat Ltd.,CEATLTD,CEATLTD.NS,Automobile and Auto Components
Central Bank of India,CENTRALBK,CENTRALBK.NS,Financial Services
Central Depository Services (India) Ltd.,CDSL,CDSL.NS,Financial Services
Century Plyboards (India) Ltd.,CENTURYPLY,CENTURYPLY.NS,Consumer Durables
Century Textile & Industries Ltd.,CENTURYTEX,CENTURYTEX.NS,Forest Materials
Cera Sanitaryware Ltd,CERA,CERA.NS,Consumer Durables
Chalet Hotels Ltd.,CHALET,CHALET.NS,Consumer Services
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,CHAMBLFERT.NS,Chemicals
Chemplast Sanmar Ltd.,CHEMPLASTS,CHEMPLASTS.NS,Chemicals
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,CHOLAHLDNG.NS,Financial Services
Cholamandalam Investment and Finance Company,CHOLAFIN,CHOLAFIN.NS,Financial Services
Cipla Ltd.,CIPLA,CIPLA.NS,Healthcare
City Union Bank Ltd.,CUB,CUB.NS,Financial Services
Clean Science and Technology Ltd.,CLEAN,CLEAN.NS,Chemicals
Coal India Ltd.,COALINDIA,COALINDIA.NS,Oil Gas & Consumable Fuels
Cochin Shipyard Ltd.,COCHINSHIP,COCHINSHIP.NS,Capital Goods
Coforge Ltd.,COFORGE,COFORGE.NS,Information Technology
Colgate Palmolive (India) Ltd.,COLPAL,COLPAL.NS,Fast Moving Consumer Goods
Computer Age Management Services Ltd.,CAMS,CAMS.NS,Financial Services
Container Corporation of India Ltd.,CONCOR,CONCOR.NS,Services
Coromandel International Ltd.,COROMANDEL,COROMANDEL.NS,Chemicals
Craftsman Automation Ltd.,CRAFTSMAN,CRAFTSMAN.NS,Automobile and Auto Components
CreditAccess Grameen Ltd.,CREDITACC,CREDITACC.NS,Financial Services
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,CROMPTON.NS,Consumer Durables
Cummins India Ltd.,CUMMINSIND,CUMMINSIND.NS,Capital Goods
Cyient Ltd.,CYIENT,CYIENT.NS,Information Technology
DCM Shriram Ltd.,DCMSHRIRAM,DCMSHRIRAM.NS,Diversified
DLF Ltd.,DLF,DLF.NS,Realty
Dabur India Ltd.,DABUR,DABUR.NS,Fast Moving Consumer Goods
Dalmia Bharat Ltd.,DALBHARAT,DALBHARAT.NS,Construction Materials
Data Patterns (India) Ltd.,DATAPATTNS,DATAPATTNS.NS,Capital Goods
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,DEEPAKFERT.NS,Chemicals
Deepak Nitrite Ltd.,DEEPAKNTR,DEEPAKNTR.NS,Chemicals
Delhivery Ltd.,DELHIVERY,DELHIVERY.NS,Services
Delta Corp Ltd.,DELTACORP,DELTACORP.NS,Consumer Services
Devyani International Ltd.,DEVYANI,DEVYANI.NS,Consumer Services
Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB.NS,Healthcare
Dixon Technologies (India) Ltd.,DIXON,DIXON.NS,Consumer Durables
Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB.NS,Healthcare
Dr. Reddy's Laboratories Ltd.,DRREDDY,DRREDDY.NS,Healthcare
E.I.D. Parry (India) Ltd.,EIDPARRY,EIDPARRY.NS,Chemicals
EIH Ltd.,EIHOTEL,EIHOTEL.NS,Consumer Services
EPL Ltd.,EPL,EPL.NS,Capital Goods
Easy Trip Planners Ltd.,EASEMYTRIP,EASEMYTRIP.NS,Consumer Services
Eicher Motors Ltd.,EICHERMOT,EICHERMOT.NS,Automobile and Auto Components
Elgi Equipments Ltd.,ELGIEQUIP,ELGIEQUIP.NS,Capital Goods
Emami Ltd.,EMAMILTD,EMAMILTD.NS,Fast Moving Consumer Goods
Endurance Technologies Ltd.,ENDURANCE,ENDURANCE.NS,Automobile and Auto Components
Engineers India Ltd.,ENGINERSIN,ENGINERSIN.NS,Construction
Equitas Small Finance Bank Ltd.,EQUITASBNK,EQUITASBNK.NS,Financial Services
Eris Lifesciences Ltd.,ERIS,ERIS.NS,Healthcare
Escorts Kubota Ltd.,ESCORTS,ESCORTS.NS,Capital Goods
Exide Industries Ltd.,EXIDEIND,EXIDEIND.NS,Automobile and Auto Components
FDC Ltd.,FDC,FDC.NS,Healthcare
FSN E-Commerce Ventures Ltd.,NYKAA,NYKAA.NS,Consumer Services
Federal Bank Ltd.,FEDERALBNK,FEDERALBNK.NS,Financial Services
Fertilisers and Chemicals Travancore Ltd.,FACT,FACT.NS,Chemicals
Fine Organic Industries Ltd.,FINEORG,FINEORG.NS,Chemicals
Finolex Cables Ltd.,FINCABLES,FINCABLES.NS,Capital Goods
Finolex Industries Ltd.,FINPIPE,FINPIPE.NS,Capital Goods
Firstsource Solutions Ltd.,FSL,FSL.NS,Services
Five-Star Business Finance Ltd.,FIVESTAR,FIVESTAR.NS,Financial Services
Fortis Healthcare Ltd.,FORTIS,FORTIS.NS,Healthcare
G R Infraprojects Ltd.,GRINFRA,GRINFRA.NS,Construction
GAIL (India) Ltd.,GAIL,GAIL.NS,Oil Gas & Consumable Fuels
GMM Pfaudler Ltd.,GMMPFAUDLR,GMMPFAUDLR.NS,Capital Goods
GMR Airports Infrastructure Ltd.,GMRINFRA,GMRINFRA.NS,Services
Galaxy Surfactants Ltd.,GALAXYSURF,GALAXYSURF.NS,Chemicals
Garware Technical Fibres Ltd.,GARFIBRES,GARFIBRES.NS,Textiles
General Insurance Corporation of India,GICRE,GICRE.NS,Financial Services
Gland Pharma Ltd.,GLAND,GLAND.NS,Healthcare
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,GLAXO.NS,Healthcare
Glenmark Pharmaceuticals Ltd.,GLENMARK,GLENMARK.NS,Healthcare
Global Health Ltd.,MEDANTA,MEDANTA.NS,Healthcare
Go Fashion (India) Ltd.,GOCOLORS,GOCOLORS.NS,Consumer Services
Godfrey Phillips India Ltd.,GODFRYPHLP,GODFRYPHLP.NS,Fast Moving Consumer Goods
Godrej Agrovet Ltd.,GODREJAGRO,GODREJAGRO.NS,Fast Moving Consumer Goods
Godrej Consumer Products Ltd.,GODREJCP,GODREJCP.NS,Fast Moving Consumer Goods
Godrej Industries Ltd.,GODREJIND,GODREJIND.NS,Diversified
Godrej Properties Ltd.,GODREJPROP,GODREJPROP.NS,Realty
Granules India Ltd.,GRANULES,GRANULES.NS,Healthcare
Graphite India Ltd.,GRAPHITE,GRAPHITE.NS,Capital Goods
Grasim Industries Ltd.,GRASIM,GRASIM.NS,Construction Materials
Great Eastern Shipping Co. Ltd.,GESHIP,GESHIP.NS,Services
Greenpanel Industries Ltd.,GREENPANEL,GREENPANEL.NS,Consumer Durables
Grindwell Norton Ltd.,GRINDWELL,GRINDWELL.NS,Capital Goods
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,GUJALKALI.NS,Chemicals
Gujarat Ambuja Exports Ltd.,GAEL,GAEL.NS,Fast Moving Consumer Goods
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,FLUOROCHEM.NS,Chemicals
Gujarat Gas Ltd.,GUJGASLTD,GUJGASLTD.NS,Oil Gas & Consumable Fuels
Gujarat Narmada Valley Fertilizers and Chemicals,GNFC,GNFC.NS,Chemicals
Gujarat Pipavav Port Ltd.,GPPL,GPPL.NS,Services
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,GSFC.NS,Chemicals
Gujarat State Petronet Ltd.,GSPL,GSPL.NS,Oil Gas & Consumable Fuels
H.E.G. Ltd.,HEG,HEG.NS,Capital Goods
HCL Technologies Ltd.,HCLTECH,HCLTECH.NS,Information Technology
HDFC Asset Management Company Ltd.,HDFCAMC,HDFCAMC.NS,Financial Services
HDFC Bank Ltd.,HDFCBANK,HDFCBANK.NS,Financial Services
HDFC Life Insurance Company Ltd.,HDFCLIFE,HDFCLIFE.NS,Financial Services
HFCL Ltd.,HFCL,HFCL.NS,Telecommunication
HLE Glascoat Ltd.,HLEGLAS,HLEGLAS.NS,Capital Goods
Happiest Minds Technologies Ltd.,HAPPSTMNDS,HAPPSTMNDS.NS,Information Technology
Havells India Ltd.,HAVELLS,HAVELLS.NS,Consumer Durables
Hero MotoCorp Ltd.,HEROMOTOCO,HEROMOTOCO.NS,Automobile and Auto Components
Hikal Ltd.,HIKAL,HIKAL.NS,Healthcare
Hindalco Industries Ltd.,HINDALCO,HINDALCO.NS,Metals & Mining
Hinduja Global Solutions Ltd.,HGS,HGS.NS,Services
Hindustan Aeronautics Ltd.,HAL,HAL.NS,Capital Goods
Hindustan Copper Ltd.,HINDCOPPER,HINDCOPPER.NS,Metals & Mining
Hindustan Petroleum Corporation Ltd.,HINDPETRO,HINDPETRO.NS,Oil Gas & Consumable Fuels
Hindustan Unilever Ltd.,HINDUNILVR,HINDUNILVR.NS,Fast Moving Consumer Goods
Hindustan Zinc Ltd.,HINDZINC,HINDZINC.NS,Metals & Mining
Hitachi Energy India Ltd.,POWERINDIA,POWERINDIA.NS,Capital Goods
Home First Finance Company India Ltd.,HOMEFIRST,HOMEFIRST.NS,Financial Services
Honeywell Automation India Ltd.,HONAUT,HONAUT.NS,Capital Goods
Housing & Urban Development Corporation Ltd.,HUDCO,HUDCO.NS,Financial Services
Housing Development Finance Corporation Ltd.,HDFC,HDFC.NS,Financial Services
ICICI Bank Ltd.,ICICIBANK,ICICIBANK.NS,Financial Services
ICICI Lombard General Insurance Company Ltd.,ICICIGI,ICICIGI.NS,Financial Services
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,ICICIPRULI.NS,Financial Services
ICICI Securities Ltd.,ISEC,ISEC.NS,Financial Services
IDBI Bank Ltd.,IDBI,IDBI.NS,Financial Services
IDFC First Bank Ltd.,IDFCFIRSTB,IDFCFIRSTB.NS,Financial Services
IDFC Ltd.,IDFC,IDFC.NS,Financial Services
IFB Industries Ltd.,IFBIND,IFBIND.NS,Consumer Durables
IIFL Finance Ltd.,IIFL,IIFL.NS,Financial Services
IRB Infrastructure Developers Ltd.,IRB,IRB.NS,Construction
ITC Ltd.,ITC,ITC.NS,Fast Moving Consumer Goods
ITI Ltd.,ITI,ITI.NS,Telecommunication
India Cements Ltd.,INDIACEM,INDIACEM.NS,Construction Materials
Indiabulls Housing Finance Ltd.,IBULHSGFIN,IBULHSGFIN.NS,Financial Services
Indiabulls Real Estate Ltd.,IBREALEST,IBREALEST.NS,Realty
Indiamart Intermesh Ltd.,INDIAMART,INDIAMART.NS,Consumer Services
Indian Bank,INDIANB,INDIANB.NS,Financial Services
Indian Energy Exchange Ltd.,IEX,IEX.NS,Financial Services
Indian Hotels Co. Ltd.,INDHOTEL,INDHOTEL.NS,Consumer Services
Indian Oil Corporation Ltd.,IOC,IOC.NS,Oil Gas & Consumable Fuels
Indian Overseas Bank,IOB,IOB.NS,Financial Services
Indian Railway Catering And Tourism Corporation,IRCTC,IRCTC.NS,Consumer Services
Indian Railway Finance Corporation Ltd.,IRFC,IRFC.NS,Financial Services
Indigo Paints Ltd.,INDIGOPNTS,INDIGOPNTS.NS,Consumer Durables
Indraprastha Gas Ltd.,IGL,IGL.NS,Oil Gas & Consumable Fuels
Indus Towers Ltd.,INDUSTOWER,INDUSTOWER.NS,Telecommunication
IndusInd Bank Ltd.,INDUSINDBK,INDUSINDBK.NS,Financial Services
Infibeam Avenues Ltd.,INFIBEAM,INFIBEAM.NS,Financial Services
Info Edge (India) Ltd.,NAUKRI,NAUKRI.NS,Consumer Services
Infosys Ltd.,INFY,INFY.NS,Information Technology
Ingersoll Rand (India) Ltd.,INGERRAND,INGERRAND.NS,Capital Goods
Intellect Design Arena Ltd.,INTELLECT,INTELLECT.NS,Information Technology
InterGlobe Aviation Ltd.,INDIGO,INDIGO.NS,Services
Ipca Laboratories Ltd.,IPCALAB,IPCALAB.NS,Healthcare
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JBCHEPHARM.NS,Healthcare
J.K. Cement Ltd.,JKCEMENT,JKCEMENT.NS,Construction Materials
JBM Auto Ltd.,JBMA,JBMA.NS,Automobile and Auto Components
JK Lakshmi Cement Ltd.,JKLAKSHMI,JKLAKSHMI.NS,Construction Materials
JK Paper Ltd.,JKPAPER,JKPAPER.NS,Forest Materials
JM Financial Ltd.,JMFINANCIL,JMFINANCIL.NS,Financial Services
JSW Energy Ltd.,JSWENERGY,JSWENERGY.NS,Power
JSW Steel Ltd.,JSWSTEEL,JSWSTEEL.NS,Metals & Mining
Jamna Auto Industries Ltd.,JAMNAAUTO,JAMNAAUTO.NS,Automobile and Auto Components
Jindal Stainless Ltd.,JSL,JSL.NS,Metals & Mining
Jindal Steel & Power Ltd.,JINDALSTEL,JINDALSTEL.NS,Metals & Mining
Jindal Worldwide Ltd.,JINDWORLD,JINDWORLD.NS,Textiles
Jubilant Foodworks Ltd.,JUBLFOOD,JUBLFOOD.NS,Consumer Services
Jubilant Ingrevia Ltd.,JUBLINGREA,JUBLINGREA.NS,Chemicals
Jubilant Pharmova Ltd.,JUBLPHARMA,JUBLPHARMA.NS,Healthcare
Justdial Ltd.,JUSTDIAL,JUSTDIAL.NS,Consumer Services
Jyothy Labs Ltd.,JYOTHYLAB,JYOTHYLAB.NS,Fast Moving Consumer Goods
K.P.R. Mill Ltd.,KPRMILL,KPRMILL.NS,Textiles
KEI Industries Ltd.,KEI,KEI.NS,Capital Goods
KNR Constructions Ltd.,KNRCON,KNRCON.NS,Construction
KPIT Technologies Ltd.,KPITTECH,KPITTECH.NS,Information Technology
KRBL Ltd.,KRBL,KRBL.NS,Fast Moving Consumer Goods
KSB Ltd.,KSB,KSB.NS,Capital Goods
Kajaria Ceramics Ltd.,KAJARIACER,KAJARIACER.NS,Consumer Durables
Kalpataru Projects International Ltd.,KPIL,KPIL.NS,Construction
Kalyan Jewellers India Ltd.,KALYANKJIL,KALYANKJIL.NS,Consumer Durables
Kansai Nerolac Paints Ltd.,KANSAINER,KANSAINER.NS,Consumer Durables
Karur Vysya Bank Ltd.,KARURVYSYA,KARURVYSYA.NS,Financial Services
Kec International Ltd.,KEC,KEC.NS,Capital Goods
Kennametal India Ltd.,KENNAMET,KENNAMET.NS,Capital Goods
Keystone Realtors Ltd.,RUSTOMJEE,RUSTOMJEE.NS,Realty
Kfin Technologies Ltd.,KFINTECH,KFINTECH.NS,Financial Services
Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAKBANK.NS,Financial Services
Krishna Institute of Medical Sciences Ltd.,KIMS,KIMS.NS,Healthcare
L&T Finance Holdings Ltd.,L&TFH,L&TFH.NS,Financial Services
L&T Technology Services Ltd.,LTTS,LTTS.NS,Information Technology
LIC Housing Finance Ltd.,LICHSGFIN,LICHSGFIN.NS,Financial Services
LTIMindtree Ltd.,LTIM,LTIM.NS,Information Technology
Lakshmi Machine Works Ltd.,LAXMIMACH,LAXMIMACH.NS,Capital Goods
Larsen & Toubro Ltd.,LT,LT.NS,Construction
Latent View Analytics Ltd.,LATENTVIEW,LATENTVIEW.NS,Information Technology
Laurus Labs Ltd.,LAURUSLABS,LAURUSLABS.NS,Healthcare
Laxmi Organic Industries Ltd.,LXCHEM,LXCHEM.NS,Chemicals
Lemon Tree Hotels Ltd.,LEMONTREE,LEMONTREE.NS,Consumer Services
Life Insurance Corporation of India,LICI,LICI.NS,Financial Services
Linde India Ltd.,LINDEINDIA,LINDEINDIA.NS,Chemicals
Lupin Ltd.,LUPIN,LUPIN.NS,Healthcare
Lux Industries Ltd.,LUXIND,LUXIND.NS,Textiles
MMTC Ltd.,MMTC,MMTC.NS,Services
MRF Ltd.,MRF,MRF.NS,Automobile and Auto Components
MTAR Technologies Ltd.,MTARTECH,MTARTECH.NS,Capital Goods
Macrotech Developers Ltd.,LODHA,LODHA.NS,Realty
Mahanagar Gas Ltd.,MGL,MGL.NS,Oil Gas & Consumable Fuels
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,M&MFIN.NS,Financial Services
Mahindra & Mahindra Ltd.,M&M,M&M.NS,Automobile and Auto Components
Mahindra Holidays & Resorts India Ltd.,MHRIL,MHRIL.NS,Consumer Services
Mahindra Lifespace Developers Ltd.,MAHLIFE,MAHLIFE.NS,Realty
Mahindra Logistics Ltd.,MAHLOG,MAHLOG.NS,Services
Manappuram Finance Ltd.,MANAPPURAM,MANAPPURAM.NS,Financial Services
Mangalore Refinery & Petrochemicals Ltd.,MRPL,MRPL.NS,Oil Gas & Consumable Fuels
Marico Ltd.,MARICO,MARICO.NS,Fast Moving Consumer Goods
Maruti Suzuki India Ltd.,MARUTI,MARUTI.NS,Automobile and Auto Components
Mastek Ltd.,MASTEK,MASTEK.NS,Information Technology
Max Financial Services Ltd.,MFSL,MFSL.NS,Financial Services
Max Healthcare Institute Ltd.,MAXHEALTH,MAXHEALTH.NS,Healthcare
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,MAZDOCK.NS,Capital Goods
Medplus Health Services Ltd.,MEDPLUS,MEDPLUS.NS,Consumer Services
Meghmani Finechem Ltd.,MFL,MFL.NS,Chemicals
Metro Brands Ltd.,METROBRAND,METROBRAND.NS,Consumer Durables
Metropolis Healthcare Ltd.,METROPOLIS,METROPOLIS.NS,Healthcare
Motherson Sumi Wiring India Ltd.,MSUMI,MSUMI.NS,Automobile and Auto Components
Motilal Oswal Financial Services Ltd.,MOTILALOFS,MOTILALOFS.NS,Financial Services
MphasiS Ltd.,MPHASIS,MPHASIS.NS,Information Technology
Multi Commodity Exchange of India Ltd.,MCX,MCX.NS,Financial Services
Muthoot Finance Ltd.,MUTHOOTFIN,MUTHOOTFIN.NS,Financial Services
NATCO Pharma Ltd.,NATCOPHARM,NATCOPHARM.NS,Healthcare
NBCC (India) Ltd.,NBCC,NBCC.NS,Construction
NCC Ltd.,NCC,NCC.NS,Construction
NHPC Ltd.,NHPC,NHPC.NS,Power
NLC India Ltd.,NLCINDIA,NLCINDIA.NS,Power
NMDC Ltd.,NMDC,NMDC.NS,Metals & Mining
NMDC Steel Ltd.,NSLNISP,NSLNISP.NS,Metals & Mining
NOCIL Ltd.,NOCIL,NOCIL.NS,Chemicals
NTPC Ltd.,NTPC,NTPC.NS,Power
Narayana Hrudayalaya Ltd.,NH,NH.NS,Healthcare
National Aluminium Co. Ltd.,NATIONALUM,NATIONALUM.NS,Metals & Mining
Navin Fluorine International Ltd.,NAVINFLUOR,NAVINFLUOR.NS,Chemicals
Nazara Technologies Ltd.,NAZARA,NAZARA.NS,Media Entertainment & Publication
Nestle India Ltd.,NESTLEIND,NESTLEIND.NS,Fast Moving Consumer Goods
Network18 Media & Investments Ltd.,NETWORK18,NETWORK18.NS,Media Entertainment & Publication
Nippon Life India Asset Management Ltd.,NAM-INDIA,NAM-INDIA.NS,Financial Services
Nuvoco Vistas Corporation Ltd.,NUVOCO,NUVOCO.NS,Construction Materials
Oberoi Realty Ltd.,OBEROIRLTY,OBEROIRLTY.NS,Realty
Oil & Natural Gas Corporation Ltd.,ONGC,ONGC.NS,Oil Gas & Consumable Fuels
Oil India Ltd.,OIL,OIL.NS,Oil Gas & Consumable Fuels
Olectra Greentech Ltd.,OLECTRA,OLECTRA.NS,Automobile and Auto Components
One 97 Communications Ltd.,PAYTM,PAYTM.NS,Financial Services
Oracle Financial Services Software Ltd.,OFSS,OFSS.NS,Information Technology
Orient Electric Ltd.,ORIENTELEC,ORIENTELEC.NS,Consumer Durables
PB Fintech Ltd.,POLICYBZR,POLICYBZR.NS,Financial Services
PCBL Ltd.,PCBL,PCBL.NS,Chemicals
PI Industries Ltd.,PIIND,PIIND.NS,Chemicals
PNB Housing Finance Ltd.,PNBHOUSING,PNBHOUSING.NS,Financial Services
PNC Infratech Ltd.,PNCINFRA,PNCINFRA.NS,Construction
PVR INOX Ltd.,PVRINOX,PVRINOX.NS,Media Entertainment & Publication
Page Industries Ltd.,PAGEIND,PAGEIND.NS,Textiles
Patanjali Foods Ltd.,PATANJALI,PATANJALI.NS,Fast Moving Consumer Goods
Persistent Systems Ltd.,PERSISTENT,PERSISTENT.NS,Information Technology
Petronet LNG Ltd.,PETRONET,PETRONET.NS,Oil Gas & Consumable Fuels
Pfizer Ltd.,PFIZER,PFIZER.NS,Healthcare
Phoenix Mills Ltd.,PHOENIXLTD,PHOENIXLTD.NS,Realty
Pidilite Industries Ltd.,PIDILITIND,PIDILITIND.NS,Chemicals
Piramal Enterprises Ltd.,PEL,PEL.NS,Financial Services
